;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Molar enthalpy, kJ/mol;Molar enthalpy, kJ/mol_std
830528;je049585t;4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride;CC1=CCC2C(C1)C(=O)OC2=O;3425-89-6;InChIKey=OEMSKMUAMXLNKL-UHFFFAOYSA-N;340.0;101.325;25.913;0.077739
830529;je049585t;4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride;CC1=CCC2C(C1)C(=O)OC2=O;3425-89-6;InChIKey=OEMSKMUAMXLNKL-UHFFFAOYSA-N;345.0;101.325;27.449;0.082347
830530;je049585t;4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride;CC1=CCC2C(C1)C(=O)OC2=O;3425-89-6;InChIKey=OEMSKMUAMXLNKL-UHFFFAOYSA-N;350.0;101.325;29.001;0.087003
830531;je049585t;4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride;CC1=CCC2C(C1)C(=O)OC2=O;3425-89-6;InChIKey=OEMSKMUAMXLNKL-UHFFFAOYSA-N;355.0;101.325;30.585;0.091755
830532;je049585t;4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride;CC1=CCC2C(C1)C(=O)OC2=O;3425-89-6;InChIKey=OEMSKMUAMXLNKL-UHFFFAOYSA-N;360.0;101.325;32.204;0.096612
995965;je060411g;neopentyl alcohol;CC(C)(C)CO;75-84-3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;330.0;101.325;45.35;0.4535
995966;je060411g;neopentyl alcohol;CC(C)(C)CO;75-84-3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;340.0;101.325;47.85;0.4785
995967;je060411g;neopentyl alcohol;CC(C)(C)CO;75-84-3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;350.0;101.325;50.66;0.5066
995968;je060411g;neopentyl alcohol;CC(C)(C)CO;75-84-3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;360.0;101.325;53.54;0.5354
995969;je060411g;neopentyl alcohol;CC(C)(C)CO;75-84-3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;370.0;101.325;56.44;0.5644
997244;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;260.0;101.325;26.75;0.2675
997245;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;270.0;101.325;28.55;0.2855
997246;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;280.0;101.325;30.61;0.3061
997247;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;290.0;101.325;33.17;0.3317
997248;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;298.15;101.325;35.16;0.3516
997249;je060411g;3-pentanol;CCC(O)CC;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;300.0;101.325;35.62;0.3562
1048879;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;260.0;101.325;44.2763;0.00011
1048880;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;270.0;101.325;46.4085;0.00011
1048881;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;273.15;101.325;47.0873;0.00011
1048882;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;280.0;101.325;48.5758;0.00011
1048883;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;290.0;101.325;50.7799;0.00011
1048884;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;52.6036;0.00011
1048885;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;300.0;101.325;53.0209;0.00011
1048886;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;310.0;101.325;55.2986;0.00011
1048887;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;320.0;101.325;57.6146;0.00011
1048888;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;330.0;101.325;59.9704;0.00011
1048889;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;340.0;101.325;62.3678;0.00011
1048890;je100658y;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;350.0;101.325;64.8092;0.00011
1672035;j.tca.2007.05.014;benzyl disulfide;C(SSCc1ccccc1)c2ccccc2;150-60-7;InChIKey=GVPWHKZIJBODOX-UHFFFAOYSA-N;355.0;101.325;44.698601472;0.089397202944
1672036;j.tca.2007.05.014;benzyl disulfide;C(SSCc1ccccc1)c2ccccc2;150-60-7;InChIKey=GVPWHKZIJBODOX-UHFFFAOYSA-N;360.0;101.325;47.467320648;0.094934641296
1672037;j.tca.2007.05.014;benzyl disulfide;C(SSCc1ccccc1)c2ccccc2;150-60-7;InChIKey=GVPWHKZIJBODOX-UHFFFAOYSA-N;365.0;101.325;50.252668768;0.100505337536
1672038;j.tca.2007.05.014;benzyl disulfide;C(SSCc1ccccc1)c2ccccc2;150-60-7;InChIKey=GVPWHKZIJBODOX-UHFFFAOYSA-N;370.0;101.325;53.071274776;0.106142549552
1672039;j.tca.2007.05.014;benzyl disulfide;C(SSCc1ccccc1)c2ccccc2;150-60-7;InChIKey=GVPWHKZIJBODOX-UHFFFAOYSA-N;375.0;101.325;55.9148242;0.1118296484
1685706;j.tca.2009.11.011;ribitol;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;488-83-5;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;375.0;101.325;53.65;0.1073
1685707;j.tca.2009.11.011;ribitol;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;488-83-5;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;380.0;101.325;55.78;0.11156
1685708;j.tca.2009.11.011;ribitol;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;488-83-5;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;385.0;101.325;57.92;0.11584
1685709;j.tca.2009.11.011;ribitol;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;488-83-5;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;390.0;101.325;60.06;0.12012
1685710;j.tca.2009.11.011;ribitol;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;488-83-5;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;395.0;101.325;62.21;0.12442
